run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,0,16,567890,180,240,0,40,40,0,4,0,0,1055,38466,2164,16,344,171,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,1,16,567890,240,300,1,100,100,0,10,0,0,1068,39843,2200,16,338,168,1,1,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,1,16,567890,300,360,1,130,130,0,13,0,0,1041,37682,2116,16,343,170,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,1,16,567890,360,420,1,10,10,0,1,0,0,999,36271,2050,16,324,163,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,1,16,567890,420,480,1,140,140,0,14,0,0,1059,38728,2176,16,345,172,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,1,16,567890,480,540,1,30,30,0,3,0,0,1100,40759,2293,16,349,180,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,0,60,0,0,0,0,0,15,15,623,27507,1290,16,188,90,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,60,120,0,0,0,0,0,0,0,1069,40249,2128,16,337,171,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,120,180,0,140,140,0,14,0,0,1046,38768,2088,16,337,172,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,180,240,0,40,40,0,4,0,0,1029,37392,2001,16,333,168,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,240,300,1,100,98,0,10,0,0,1036,38317,2029,16,332,167,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,300,360,1,130,130,0,13,0,0,1036,37480,2027,16,337,169,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,360,420,1,10,10,0,1,0,0,1054,38271,2076,16,343,173,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,420,480,1,140,140,0,14,0,0,1034,38190,2041,16,338,169,0,0,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,0,0,16,123456,480,540,1,30,30,0,3,0,0,1030,37739,2042,16,335,167,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,0,60,0,0,0,0,0,15,15,611,27199,1316,16,184,88,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,60,120,0,0,0,0,0,0,0,1073,40168,2230,16,342,170,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,120,180,0,140,140,0,14,0,0,1072,39625,2230,16,343,175,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,180,240,0,60,60,0,6,0,0,1031,37414,2100,16,337,171,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,240,300,1,80,80,0,8,0,0,1058,39279,2194,16,338,171,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,300,360,1,120,120,0,12,0,0,989,35775,2030,16,324,165,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,360,420,1,20,20,0,2,0,0,1044,38066,2154,16,338,169,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,420,480,1,140,140,0,14,0,0,1055,38768,2182,16,340,174,0,0,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,0,0,16,234567,480,540,1,60,60,0,6,0,0,1073,39226,2195,16,347,172,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,0,60,0,0,0,0,0,15,15,596,26481,1300,16,178,87,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,60,120,0,0,0,0,0,0,0,1074,40361,2250,16,342,172,0,0,0,0
