model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,worst_parent,dio_suppression,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,dio_suppression,1,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,dio_suppression,2,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,dio_suppression,3,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,dis_flood,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,grayhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,grayhole,1,1,0.9444,1.0,0.8,0.8889,0.0
cart,worst_parent,grayhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,worst_parent,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,increase_rank,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,increase_rank,1,1,0.9028,1.0,0.65,0.7879,0.0
cart,worst_parent,increase_rank,2,1,0.8889,1.0,0.6,0.75,0.0
cart,worst_parent,increase_rank,3,1,0.9167,1.0,0.7,0.8235,0.0
cart,worst_parent,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,sinkhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,sinkhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,sybil,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,sybil,2,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,wormhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,wormhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,wormhole,3,1,1.0,1.0,1.0,1.0,0.0
