algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
ddqn,163,sybil,123456,-4.08,9.3935,8.9276
ddqn,164,sinkhole,234567,0.9,7.8495,8.9276
ddqn,165,sybil,345678,-4.16,7.8495,8.2125
ddqn,166,sybil,123456,-4.14,7.8495,7.6016
ddqn,167,sybil,234567,-4.06,7.8495,7.0704
ddqn,168,sybil,345678,-4.08,7.8495,6.6218
ddqn,169,sinkhole,123456,-4.06,7.281,6.6218
ddqn,170,sybil,234567,-4.06,7.281,6.2375
ddqn,171,sinkhole,345678,-14.26,8.3279,6.2375
ddqn,172,sybil,123456,-4.08,8.3279,5.9139
ddqn,173,sinkhole,234567,-14.0,9.1787,5.9139
ddqn,174,sinkhole,345678,-4.08,8.4139,5.9139
ddqn,175,sinkhole,123456,-9.12,8.5198,5.9139
ddqn,176,sinkhole,234567,-4.24,7.8778,5.9139
ddqn,177,sinkhole,345678,-14.18,8.8232,5.9139
ddqn,178,sinkhole,123456,-9.26,8.8887,5.9139
ddqn,179,sybil,234567,-4.06,8.8887,5.6358
ddqn,180,sinkhole,345678,-14.26,9.6944,5.6358
ddqn,181,sinkhole,123456,-9.24,9.6262,5.6358
ddqn,182,sinkhole,234567,-4.32,8.8303,5.6358
ddqn,183,sybil,345678,-4.06,8.8303,5.3994
ddqn,184,sinkhole,123456,-9.18,8.8828,5.3994
ddqn,185,sinkhole,234567,-4.24,8.1863,5.3994
ddqn,186,sinkhole,345678,-14.32,9.1064,5.3994
ddqn,187,sinkhole,123456,-9.26,9.1294,5.3994
ddqn,188,sinkhole,234567,-4.26,8.399,5.3994
ddqn,189,sinkhole,345678,-14.26,9.2782,5.3994
ddqn,190,sinkhole,123456,-9.26,9.2754,5.3994
ddqn,191,sinkhole,234567,-4.24,8.5201,5.3994
ddqn,192,sinkhole,345678,-14.24,9.3781,5.3994
ddqn,193,sinkhole,123456,-4.16,8.5954,5.3994
ddqn,194,sinkhole,234567,-4.02,7.9091,5.3994
ddqn,195,sinkhole,345678,-14.08,8.8347,5.3994
ddqn,196,sinkhole,123456,-4.06,8.1185,5.3994
ddqn,197,sinkhole,234567,-4.3,7.5457,5.3994
ddqn,198,sinkhole,345678,-14.18,8.5409,5.3994
ddqn,199,sinkhole,123456,-4.16,7.8837,5.3994
ddqn,200,sinkhole,234567,-4.42,7.3642,5.3994
ddqn,201,sinkhole,345678,-14.44,8.4256,5.3994
ddqn,202,sinkhole,123456,-4.04,7.7677,5.3994
ddqn,203,sinkhole,234567,-4.42,7.2656,5.3994
ddqn,204,sinkhole,345678,-14.26,8.3147,5.3994
ddqn,205,sybil,123456,-14.24,8.3147,6.7255
ddqn,206,sinkhole,234567,-4.36,7.7215,6.7255
ddqn,207,sinkhole,345678,-14.4,8.7233,6.7255
ddqn,208,sinkhole,123456,-4.28,8.0568,6.7255
ddqn,209,sinkhole,234567,-14.02,8.9513,6.7255
ddqn,210,sinkhole,345678,-14.0,9.7086,6.7255
ddqn,211,sinkhole,123456,-14.0,10.3523,6.7255
ddqn,212,sinkhole,234567,-4.12,9.4175,6.7255
ddqn,213,sinkhole,345678,-14.2,10.1348,6.7255
ddqn,214,sinkhole,123456,-4.06,9.2236,6.7255
ddqn,215,sinkhole,234567,-4.2,8.4701,6.7255
ddqn,216,sybil,345678,-9.38,8.4701,7.1237
ddqn,217,sinkhole,123456,-9.26,8.5886,7.1237
ddqn,218,sinkhole,234567,-4.14,7.9213,7.1237
ddqn,219,sinkhole,345678,-4.06,7.3421,7.1237
ddqn,220,sinkhole,123456,-14.0,8.3408,7.1237
ddqn,221,sinkhole,234567,-4.12,7.7077,7.1237
ddqn,222,sinkhole,345678,-14.0,8.6515,7.1237
ddqn,223,sinkhole,123456,-14.0,9.4538,7.1237
ddqn,224,sinkhole,234567,-4.32,8.6837,7.1237
ddqn,225,sybil,345678,-4.06,8.6837,6.6641
ddqn,226,sinkhole,123456,-4.16,8.0052,6.6641
ddqn,227,sinkhole,234567,-4.3,7.4494,6.6641
ddqn,228,sinkhole,345678,-14.48,8.504,6.6641
ddqn,229,sinkhole,123456,-9.34,8.6294,6.6641
ddqn,230,sinkhole,234567,-4.42,7.998,6.6641
ddqn,231,sinkhole,345678,-14.42,8.9613,6.6641
ddqn,232,sinkhole,123456,-9.28,9.0091,6.6641
ddqn,233,sinkhole,234567,-4.24,8.2937,6.6641
